Store Name: AN ORGANIC CAFE
Store Address: 27 LAFAYETTE ROAD
Store Phone: 9732258999

Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,073100000393,COPENHAGEN POUCH MINT 5CT,0,5.99,5,General,General,
Standard,073100001215,COPENHAGEN LONG CUT 5CT. ,0,7.09,5,General,General,
Standard,073100008764,COPENHAGEN L/C WINTER 5CT,0,8.89,5,General,General,
Standard,073100008825,COPENHAGEN L/C STRAIGHT 5,0,5.99,5,General,General,
Standard,073100000362,COPENHAGEN L/C MINT 5CT  ,0,5.99,5,General,General,
Standard,031700048221,GAME PALMA WHT GRAPE UP 2,0,1.36,25,General,General,
Standard,031700044247,GAME PALMA GREEN UPRIGHT ,0,1.36,25,General,General,
Standard,031700903506,GAME PALMA BLUE UP25S   ,0,1.36,25,General,General,
Standard,819721010638,ENTOURAGE VANILLA 25CT   ,0,1.47,25,General,General,
Standard,819721010621,ENTOURAGE PINK VANIL.25CT,0,1.47,25,General,General,
Standard,819721010324,BLUNTVILLE WHITE VANILLA ,0,1.20,25,General,General,
Standard,819721010317,BLUNTVILLE VANILLA BOX 25,0,1.20,25,General,General,
Standard,819721010287,BLUNTVILLE PALMA BOX25  ,0,1.20,25,General,General,
Standard,819721011772,BLUNTVILLE CIGARIL.PINK 2,0,1.21,25,General,General,
Standard,070137105251,BLK&MLD WOOD TIP BX 25  ,0,0.99,25,General,General,
Standard,070137005254,BLK&MLD WOOD TIP 10/5   ,0,5.99,10,General,General,
Standard,070137000235,BLK&MLD WINE CIGAR 10/5PK,0,4.99,10,General,General,
Standard,070137105237,BLK&MLD WINE BOX 25      ,0,2.96,25,General,General,
Standard,070137105299,BLK&MLD WD/TIP WINE BX25 ,0,1.25,25,General,General,
Standard,070137005292,BLK&MLD WD/TIP WINE 10/5,0,5.99,10,General,General,
Standard,070137100188,BLK&MLD LTL.CIGAR BOX 25,0,0.99,25,General,General,
Standard,070137211167,BLK&MLD JAZZ WD/TIP 10/5,0,5.99,10,General,General,
Standard,070137211174,BLK&MLD JAZZ 10/5PK     ,0,5.99,10,General,General,
Standard,070137213376,BLK&MLD FILTER TIP 110MM ,0,3.99,10,General,General,
Standard,070137000181,BLK&MLD CIGARS 10/5PK    ,0,5.99,10,General,General,
Standard,071610499072,D/MAST.COLL.PALMA BOX 55,0,1.35,55,General,General,
Standard,071610500211,D/MAST.COLL.PALMA 5/4S P,0,5.51,5,General,General,
Standard,071610499492,D/MAST.CIGARIL.PALMA 3/2P,0,2.01,20,General,General,
Standard,071610301924,BACKWOOD SWEET 8/5PK    ,0,6.08,8,General,General,
Standard,071610302792,BACKWOOD RUSSIAN CREAM 8/,0,5.99,8,General,General,
Standard,071610301894,BACKWOOD ORIGINAL 8/5PK ,0,5.99,8,General,General,
Standard,071610301863,BACKWOOD HONEY/BRY 8/5PK,0,5.99,8,General,General,
Standard,071610302266,BACKWOOD HONEY BOURBON 8/,0,5.99,8,General,General,
Standard,071610301832,BACKWOOD HONEY 8/5PK    ,0,5.99,8,General,General,
Standard,819913011580,JUUL DEVICE SLATE 8CT    ,0,29.99,8,General,General,
Standard,819913011740,JUUL PODS 3% VIRGINIA TOB,0,14.99,8,General,General,
Standard,819913012594,JUUL PODS 5% MENTHOL 8/4P,0,14.99,8,General,General,
Standard,819913011405,JUUL PODS 5% COOL MINT 8/,0,14.99,8,General,General,
Standard,819913012686,JUUL PODS 5% CLASSIC TOB ,0,14.99,8,General,General,
Standard,852675072703,EON PODS 6% WATERMELON 5/,0,0.40,5,General,General,
Standard,852675072680,EON PODS 6% MANGO 5/4PK ,0,0.40,5,General,General,
Standard,852675072444,EON PODS 6% GRAPE 5/4PK ,0,0.40,5,General,General,
Standard,852675072567,EON PODS 6% BLUEBERRY 5/4,0,0.40,5,General,General,
Standard,090600000166,USA GOLD RED KING BOX    ,0,7.45,10,General,General,
Standard,090600000111,USA GOLD RED 100S BOX   ,0,7.45,10,General,General,
Standard,090600000128,USA GOLD MEN FLT KING BOX,0,7.45,10,General,General,
Standard,090600000142,USA GOLD MEN FLT 100S BOX,0,7.45,10,General,General,
Standard,090600000173,USA GOLD GOLD KING BOX   ,0,7.45,10,General,General,
Standard,090600000104,USA GOLD GOLD 100S BOX  ,0,7.45,10,General,General,
Standard,090500000518,MAVERICK MENTHOL BOX 100 ,0,7.12,10,General,General,
Standard,090500000549,MAVERICK MENTHOL BOX     ,0,7.12,10,General,General,
Standard,090500000532,MAVERICK GOLD BOX 100    ,0,7.12,10,General,General,
Standard,090500000396,MAVERICK GOLD BOX        ,0,7.12,10,General,General,
Standard,090500000464,MAVERICK BOX KING        ,0,7.12,10,General,General,
Standard,090500000389,MAVERICK BOX 100         ,0,7.12,10,General,General,
Standard,027200008674,PALL MALL RED 100 BOX    ,0,8.08,10,General,General,
Standard,027200008599,PALL MALL MEN KS BX      ,0,8.08,10,General,General,
Standard,027200008650,PALL MALL MEN 100 BOX    ,0,8.08,10,General,General,
Standard,027200008544,PALL MALL BLUE KS BX     ,0,8.08,10,General,General,
Standard,027200008629,PALL MALL BLUE 100 BOX   ,0,8.08,10,General,General,
Standard,028200310323,L&M MENTHOL KING BOX     ,0,8.08,10,General,General,
Standard,028200310422,L&M MENTHOL 100 BOX      ,0,8.08,10,General,General,
Standard,028200309822,L&M BOX BP               ,0,8.08,10,General,General,
Standard,028200315526,L&M BOLD KING BX BP      ,0,8.08,10,General,General,
Standard,028200315625,L&M BOLD 100 BX BP       ,0,8.08,10,General,General,
Standard,028200310224,L&M BLUE PK 100S BX BP  ,0,8.08,10,General,General,
Standard,028200309921,L&M 100S BOX BP         ,0,8.08,10,General,General,
Standard,047995855246,AM SPIRIT ORGANIC BX TURQ,0,8.97,10,General,General,
Standard,047995855055,AM SPIRIT MEN BX MELLOW G,0,8.97,10,General,General,
Standard,047995855222,AM SPIRIT MEN 85 BX DARK ,0,8.97,10,General,General,
Standard,047995855086,AM SPIRIT BX FULL BODY BL,0,8.97,10,General,General,
Standard,047995855093,AM SPIRIT 85 BX MELLOW YE,0,8.97,10,General,General,
Standard,090500000570,WINSTON RED 85 BOX       ,0,8.54,10,General,General,
Standard,090500000594,WINSTON GOLD 85 BOX      ,0,8.54,10,General,General,
Standard,090500000945,SALEM GOLD 100 BOX       ,0,8.65,10,General,General,
Standard,090500000907,SALEM BX KS              ,0,8.65,10,General,General,
Standard,090500000914,SALEM BOX 100            ,0,8.65,10,General,General,
Standard,028200007841,PARLIAMENT WHITE BOX BP  ,0,9.02,10,General,General,
Standard,028200007919,PARLIAMENT WHITE 100S BX,0,9.02,10,General,General,
Standard,028200008152,PARLIAMENT SILVER BX BP  ,0,9.02,10,General,General,
Standard,028200007872,PARLIAMENT MEN WHITE BX B,0,9.02,10,General,General,
Standard,028200008176,PARLIAMENT MEN SILVER BX ,0,9.02,10,General,General,
Standard,026100006575,NEWPORT NON-MENTHOL BOX 1,0,7.59,10,General,General,
Standard,026100006568,NEWPORT NON-MENTHOL BOX  ,0,7.59,10,General,General,
Standard,026100006681,NEWPORT MEN SMOOTH SELECT,0,9.03,10,General,General,
Standard,026100006704,NEWPORT MEN SMOOTH SELECT,0,9.03,10,General,General,
Standard,026100005769,NEWPORT MEN GOLD BOX     ,0,9.03,10,General,General,
Standard,026100005738,NEWPORT BOX 100          ,0,9.03,10,General,General,
Standard,026100005752,NEWPORT BOX              ,0,9.03,10,General,General,
Standard,028200005656,MARLBORO SPCL BLND RED BO,0,8.54,10,General,General,
Standard,028200005687,MARLBORO SPCL BLND RED BO,0,8.54,10,General,General,
Standard,028200004222,MARLBORO SPCL BLND GOLD B,0,8.54,10,General,General,
Standard,028200004239,MARLBORO SPCL BLND GOLD B,0,8.54,10,General,General,
Standard,028200003232,MARLBORO SMOOTH BX BP    ,0,8.54,10,General,General,
Standard,028200004772,MARLBORO SILVER BOX BP   ,0,8.54,10,General,General,
Standard,028200004789,MARLBORO SILVER 100S BX ,0,8.54,10,General,General,
Standard,028200003614,MARLBORO MEN KING BOX BP ,0,8.54,10,General,General,
Standard,028200003577,MARLBORO KING BOX BP     ,0,8.54,10,General,General,
Standard,028200003843,MARLBORO GOLD BX BP      ,0,8.54,10,General,General,
Standard,028200004659,MARLBORO GOLD 100S BX BP,0,8.54,10,General,General,
Standard,028200002648,MARLBORO BLEND 27 BOX KS ,0,8.54,10,General,General,
Standard,028200009524,MARLBORO BLACK BOX       ,0,8.54,10,General,General,
Standard,028200003645,MARLBORO 100 MEN BOX BP  ,0,8.54,10,General,General,
Standard,028200003638,MARLBORO 100 BOX BP      ,0,8.54,10,General,General,
Standard,090500000716,KOOL BOX KING            ,0,8.54,10,General,General,
Standard,090500000730,KOOL BOX 100             ,0,8.54,10,General,General,
Standard,090500000860,KOOL BLUE 85 BOX MEN     ,0,8.54,10,General,General,
Standard,027200002399,CAPRI MEN INDIGO 100 BOX ,0,10.51,10,General,General,
Standard,027200002382,CAPRI MAGENTA 100 BOX    ,0,10.51,10,General,General,
Standard,012300000079,CAMEL REG BLUE 85 BOX    ,0,8.54,10,General,General,
Standard,012300000031,CAMEL FILTER BX          ,0,8.54,10,General,General,
Standard,012300000949,CAMEL CRUSH SILVER 85 BOX,0,8.54,10,General,General,
Standard,012300000932,CAMEL CRUSH REG 85 BOX ME,0,8.54,10,General,General,
Standard,012300197410,CAMEL CRUSH BOX          ,0,8.54,10,General,General,
