Store Name: Xpress Mart Vineland
Store Address: 2778 S Main Road,
Store Phone: 8562051290

Name,Item Sold,% of Items,Net Amt,% of Sales,Cost Amt,Profit Amt,Mark Up(%),Gross Profit (%)
Sub Total,5,100.00%,5.69,0.37%,0.61,5.08,832.79%,89.28%
CHIPS N SNACKS,,,,,,,
CHEEZ -ITCLASSIC,1,8.33%,2.19,12.44%,1.25,0.94,75.20%,42.92%
DORITOS NACHO CHEESE,2,16.67%,3.78,21.48%,2.18,1.60,73.39%,42.33%
DORITOS SPICY NACHO,1,8.33%,1.89,10.74%,1.09,0.80,73.39%,42.33%
HERR BBQ PORK RINGS,1,8.33%,1.09,6.19%,0.81,0.28,34.57%,25.69%
KB CLUB CRACKER,1,8.33%,2.59,14.72%,1.37,1.22,89.05%,47.10%
KB TOAST PNT BTR CRK,1,8.33%,0.99,5.63%,0.34,0.65,191.18%,65.66%
KRLL FROOT LOOPS,1,8.33%,1.59,9.03%,0.91,0.68,74.73%,42.77%
POP TARTS,1,8.33%,1.09,6.19%,0.43,0.66,153.49%,60.55%
PRINGLES SOUR CREAM  ONION,1,8.33%,1.69,9.60%,0.86,0.83,96.51%,49.11%
SLIM JIM,2,16.67%,0.70,3.98%,0.00,0.70,100.00%,100.00%
Sub Total,12,99.98%,17.60,1.14%,9.24,8.36,90.48%,47.50%
CIGAR,,,,,,,
B  M JAZZ,3,8.11%,2.37,1.78%,1.17,1.20,102.56%,50.63%
BLACK  MILD,3,8.11%,2.67,2.01%,0.00,2.67,100.00%,100.00%
BLK  MILD,1,2.70%,4.99,3.75%,3.69,1.30,35.23%,26.05%
BLK  MILD SNGL WOOD TIP WINE,2,5.41%,2.34,1.76%,1.50,0.84,56.00%,35.90%
BLU,1,2.70%,8.09,6.08%,0.00,8.09,100.00%,100.00%
BLUNTVLLE TRIPLE VANILLA,1,2.70%,0.99,0.74%,0.60,0.39,65.00%,39.39%
DUTCH MASTERS CICGARILLO,5,13.51%,12.45,9.35%,7.35,5.10,69.39%,40.96%
GAME BLUE,6,16.22%,5.94,4.46%,0.00,5.94,100.00%,100.00%
JUULEAR BUD COOL MINT,1,2.70%,22.99,17.27%,10.71,12.28,114.66%,53.41%
SWISHER SWEETS,2,5.41%,1.98,1.49%,0.00,1.98,100.00%,100.00%
WINCHESTER LITTLE CIGAR,10,27.03%,65.80,49.43%,42.20,23.60,55.92%,35.87%
ZIG-ZAG VANLLA,2,5.41%,2.50,1.88%,1.08,1.42,131.48%,56.80%
Sub Total,37,100.01%,133.11,8.61%,68.30,64.81,94.89%,48.69%
CIGARATTE,,,,,,,
L nd m  100,1,100.00%,7.13,100.00%,0.00,7.13,100.00%,100.00%
Sub Total,1,100.00%,7.13,0.46%,0.00,7.13,100.00%,100.00%
CIG_SMOKELESS_TOBACCO,,,,,,,
AMERICAN SPIRIT MENTHOL,1,1.37%,8.90,1.52%,0.00,8.90,100.00%,100.00%
CAMEL CRUSE 50C OFF,1,1.37%,7.64,1.30%,0.00,7.64,100.00%,100.00%
CAMEL CRUSH MENTHOT SILVER,2,2.74%,15.28,2.61%,0.00,15.28,100.00%,100.00%
CAMEL MEN BOX KING,1,1.37%,8.09,1.38%,0.00,8.09,100.00%,100.00%
CARLTON 100 BOX,4,5.48%,39.44,6.74%,23.96,15.48,64.61%,39.25%
FORTUNA FULL FLAVOR,1,1.37%,7.05,1.20%,0.00,7.05,100.00%,100.00%
KOOL BLUE,1,1.37%,7.30,1.25%,0.00,7.30,100.00%,100.00%
MARL 72 BX KING,1,1.37%,7.64,1.30%,4.96,2.68,54.03%,35.08%
MARL BLAND NO 27 BX KING,1,1.37%,8.32,1.42%,4.96,3.36,67.74%,40.38%
MARL MEDIUM BOX 100,1,1.37%,8.33,1.42%,4.96,3.37,67.94%,40.46%
MARL MTH LT BOX 100,3,4.11%,24.09,4.11%,14.88,9.21,61.90%,38.23%
MARLBORO 72 MENTHOL,1,1.37%,7.64,1.30%,0.00,7.64,100.00%,100.00%
MARLBORO BOX 100 20CIG,2,2.74%,16.64,2.84%,0.00,16.64,100.00%,100.00%
MARLBORO LIGHT BOX 100 20CIG,2,2.74%,16.64,2.84%,0.00,16.64,100.00%,100.00%
MARLBORO LIGHTS BOX,5,6.85%,41.60,7.10%,0.00,41.60,100.00%,100.00%
MARLBORO MENTHOL BOX,4,5.48%,30.00,5.12%,0.00,30.00,100.00%,100.00%
MARLBORO MENTHOL GOLD PACK,2,2.74%,15.06,2.57%,0.00,15.06,100.00%,100.00%
MARLBORO RED BOX KING,2,2.74%,16.64,2.84%,0.00,16.64,100.00%,100.00%
MARLBORO SPECIAL BLAND MENTHOL,1,1.37%,7.72,1.32%,0.00,7.72,100.00%,100.00%
MAVERICK,1,1.37%,7.07,1.21%,0.00,7.07,100.00%,100.00%
MAVERICK LIGHT 100 BOX,2,2.74%,14.14,2.41%,0.00,14.14,100.00%,100.00%
MAVERICK MENTHOL BOX 100,3,4.11%,21.21,3.62%,0.00,21.21,100.00%,100.00%
MAVERICK SILVER 100,2,2.74%,14.14,2.41%,0.00,14.14,100.00%,100.00%
MISTY MTH LT 120S BOX,1,1.37%,8.20,1.40%,4.84,3.36,69.42%,40.98%
NEWPORT BOX,5,6.85%,42.00,7.17%,0.00,42.00,100.00%,100.00%
NEWPORT BOX 100,6,8.22%,50.40,8.61%,0.00,50.40,100.00%,100.00%
NEWPORT GOLD,2,2.74%,15.26,2.61%,0.00,15.26,100.00%,100.00%
NEWPORT LIGHT,1,1.37%,8.40,1.43%,0.00,8.40,100.00%,100.00%
NEWPORT SOFT 100,1,1.37%,8.40,1.43%,5.62,2.78,49.47%,33.10%
PALL MNTL LGT 100S BOX,2,2.74%,14.04,2.40%,8.56,5.48,64.02%,39.03%
PARLIAMENT LT 100,1,1.37%,8.96,1.53%,0.00,8.96,100.00%,100.00%
PARLIAMENT ULT BOX KING,1,1.37%,8.96,1.53%,5.11,3.85,75.34%,42.97%
USA 100,2,2.74%,14.80,2.53%,0.00,14.80,100.00%,100.00%
USA GOLD LT 100S BOX,1,1.37%,7.40,1.26%,4.31,3.09,71.69%,41.76%
VS LUXURY LTS 120S BX,2,2.74%,17.92,3.06%,0.00,17.92,100.00%,100.00%
WINS GOLD 100,1,1.37%,7.55,1.29%,0.00,7.55,100.00%,100.00%
WINSTON FF 100,3,4.11%,22.65,3.87%,0.00,22.65,100.00%,100.00%
Sub Total,73,100.01%,585.52,37.89%,82.16,503.36,612.66%,85.97%
COFFEE,,,,,,,
COFFEE X LARGE 24 OZ,15,30.61%,25.35,34.91%,9.00,16.35,181.67%,64.50%
LARGE COFFEE 20 OZ,10,20.41%,14.90,20.52%,5.50,9.40,170.91%,63.09%
MEDIUM COFFEE,14,28.57%,19.46,26.80%,0.00,19.46,100.00%,100.00%
SMALL COFFEE,10,20.41%,12.90,17.77%,5.00,7.90,158.00%,61.24%
Sub Total,49,100.00%,72.61,4.70%,19.50,53.11,272.36%,73.14%
DAILY NEWS,,,,,,,
THE DAILY JOURNAL,5,100.00%,7.50,100.00%,0.00,7.50,100.00%,100.00%
Sub Total,5,100.00%,7.50,0.49%,0.00,7.50,100.00%,100.00%
DAIRY,,,,,,,
PHIL CREAM CHEESE,1,100.00%,3.49,100.00%,2.00,1.49,74.50%,42.69%
Sub Total,1,100.00%,3.49,0.23%,2.00,1.49,74.50%,42.69%
DELI,,,,,,,
DELI,28,100.00%,103.09,100.00%,0.00,103.09,100.00%,100.00%
Sub Total,28,100.00%,103.09,6.67%,0.00,103.09,100.00%,100.00%
ENERGY DRINKS,,,,,,,
5-HR ENERGY EXTRA   STRENGTH,1,20.00%,3.29,20.00%,1.41,1.88,133.33%,57.14%
RED BULL,2,40.00%,6.58,40.00%,3.72,2.86,76.88%,43.47%
RED BULL DIET,1,20.00%,3.29,20.00%,1.97,1.32,67.01%,40.12%
RED BULL ORANGE TANGERINE,1,20.00%,3.29,20.00%,1.97,1.32,67.01%,40.12%
Sub Total,5,100.00%,16.45,1.06%,9.07,7.38,81.37%,44.86%
General,,,,,,,
3 muskters,1,1.18%,1.99,1.01%,0.00,1.99,100.00%,100.00%
5 PEPPERMINT,1,1.18%,1.59,0.80%,0.00,1.59,100.00%,100.00%
AIRHEAD GUM,1,1.18%,1.69,0.85%,0.00,1.69,100.00%,100.00%
AIRHEADS,1,1.18%,1.39,0.70%,0.00,1.39,100.00%,100.00%
AQUAFINA WTR,1,1.18%,2.00,1.01%,0.93,1.07,115.05%,53.50%
BALI KRATOM 1 OZ,1,1.18%,15.99,8.09%,6.99,9.00,128.76%,56.29%
BANG RAINBOW,3,3.53%,8.37,4.23%,0.00,8.37,100.00%,100.00%
BANG SOUR HEADS ,1,1.18%,2.79,1.41%,0.00,2.79,100.00%,100.00%
BLACK WINE,1,1.18%,0.99,0.50%,0.00,0.99,100.00%,100.00%
bluntwille palma,2,2.35%,2.34,1.18%,0.00,2.34,100.00%,100.00%
BODY ARMOR,1,1.18%,2.39,1.21%,0.00,2.39,100.00%,100.00%
BOUNTY BIG ROLL,2,2.35%,5.98,3.02%,3.50,2.48,70.86%,41.47%
BREAKFAST SANDWICH,7,8.24%,18.83,9.52%,0.00,18.83,100.00%,100.00%
BREAKFAST WRAP,3,3.53%,8.97,4.54%,0.00,8.97,100.00%,100.00%
BUTTER ROLL,4,4.71%,5.16,2.61%,0.00,5.16,100.00%,100.00%
CHEESSE CAKE,5,5.88%,13.95,7.06%,0.00,13.95,100.00%,100.00%
combo pizaria,1,1.18%,2.69,1.36%,0.00,2.69,100.00%,100.00%
Coupon,3,3.53%,-5.50,-2.78%,0.00,-5.50,100.00%,100.00%
CREAM CHEESS BEGAL,2,2.35%,3.38,1.71%,0.00,3.38,100.00%,100.00%
GAME FUEL AMP CHERRY BRUST,1,1.18%,1.89,0.96%,0.00,1.89,100.00%,100.00%
GLOVES BRN WORKING,1,1.18%,1.99,1.01%,0.54,1.45,268.52%,72.86%
HASHBROWN,1,1.18%,0.89,0.45%,0.00,0.89,100.00%,100.00%
hefty 33gal,1,1.18%,10.99,5.56%,0.00,10.99,100.00%,100.00%
HOSTESS MINI DONNUT,1,1.18%,1.89,0.96%,0.00,1.89,100.00%,100.00%
HOT SPICY CHICKEN,1,1.18%,1.99,1.01%,0.00,1.99,100.00%,100.00%
karma water,1,1.18%,2.79,1.41%,0.00,2.79,100.00%,100.00%
LIFE WATER,1,1.18%,1.99,1.01%,0.00,1.99,100.00%,100.00%
LUNCHABLE TURKEY,1,1.18%,4.99,2.52%,0.00,4.99,100.00%,100.00%
M DEW 16 OZ,1,1.18%,1.17,0.59%,0.59,0.58,98.31%,49.57%
MINUT MAID APPLE,1,1.18%,1.99,1.01%,0.00,1.99,100.00%,100.00%
MINUTE MAID CRANBERRY,2,2.35%,3.98,2.01%,0.00,3.98,100.00%,100.00%
NESTLE 0.5 L WATER,2,2.35%,1.98,1.00%,0.32,1.66,518.75%,83.84%
OLD FASHINED APPLE PIE,1,1.18%,1.39,0.70%,0.73,0.66,90.41%,47.48%
OLD FASHIONED CHEERY PIE,1,1.18%,1.39,0.70%,0.73,0.66,90.41%,47.48%
OLD FASHIONED PIE CHO ,1,1.18%,1.39,0.70%,0.73,0.66,90.41%,47.48%
OTHER HOT DOG,1,1.18%,1.69,0.85%,0.00,1.69,100.00%,100.00%
PALL MALL BLACK,3,3.53%,19.71,9.97%,0.00,19.71,100.00%,100.00%
PASTELILLOS,3,3.53%,5.97,3.02%,0.00,5.97,100.00%,100.00%
PLND SPRNG 1.5 L,1,1.18%,1.99,1.01%,0.62,1.37,220.97%,68.84%
POLAND SPRING 1LT WATER,1,1.18%,1.79,0.91%,0.66,1.13,171.21%,63.13%
PRETZEL,4,4.71%,3.76,1.90%,1.80,1.96,108.89%,52.13%
RAW 125 TIPS,1,1.18%,1.99,1.01%,0.00,1.99,100.00%,100.00%
SNAPPLE KIWI STRAWBERRY,1,1.18%,1.59,0.80%,0.00,1.59,100.00%,100.00%
SNAPPLE LEMON TEA,1,1.18%,1.70,0.86%,0.00,1.70,100.00%,100.00%
starbrust staberry,1,1.18%,1.99,1.01%,0.00,1.99,100.00%,100.00%
STEAK EGG CHEESSE,3,3.53%,10.47,5.30%,0.00,10.47,100.00%,100.00%
SUNKIST GRAPE,1,1.18%,0.84,0.42%,0.00,0.84,100.00%,100.00%
Swisher Sweets Coco Blue,1,1.18%,0.99,0.50%,0.00,0.99,100.00%,100.00%
TORNEDO,2,2.35%,2.58,1.30%,0.00,2.58,100.00%,100.00%
TURKEYHILL TEA,2,2.35%,2.98,1.51%,0.00,2.98,100.00%,100.00%
Sub Total,85,100.11%,197.73,12.80%,18.14,179.59,990.02%,90.83%
GROCERY NON TAX,,,,,,,
HUNTS TOMATO KETCHUP 24OZ,1,100.00%,2.39,100.00%,1.03,1.36,132.04%,56.90%
Sub Total,1,100.00%,2.39,0.15%,1.03,1.36,132.04%,56.90%
GROCERY TAX,,,,,,,
NESQUIK STROBERRYMILK,1,33.33%,1.99,33.33%,1.25,0.74,59.20%,37.19%
PEPSI DIET 1 LTR,2,66.67%,3.98,66.67%,0.00,3.98,100.00%,100.00%
Sub Total,3,100.00%,5.97,0.39%,1.25,4.72,377.60%,79.06%
GROCERY1,,,,,,,
GROCERY NON TAX,26,68.42%,65.49,57.39%,0.00,65.49,100.00%,100.00%
GROCERY TAX,12,31.58%,48.63,42.61%,0.00,48.63,100.00%,100.00%
Sub Total,38,100.00%,114.12,7.39%,0.00,114.12,100.00%,100.00%
GUM KING,,,,,,,
WRIGLYS ORBIT PEPPERMINT SF,1,100.00%,1.49,100.00%,0.75,0.74,98.67%,49.66%
Sub Total,1,100.00%,1.49,0.10%,0.75,0.74,98.67%,49.66%
GUM REG,,,,,,,
ICE CUBES PEPPERMINT,1,50.00%,1.69,51.52%,0.91,0.78,85.71%,46.15%
ORBIT,1,50.00%,1.59,48.48%,0.75,0.84,112.00%,52.83%
Sub Total,2,100.00%,3.28,0.21%,1.66,1.62,97.59%,49.39%
HABA,,,,,,,
EXTENZEN,1,33.33%,12.99,75.22%,6.00,6.99,116.50%,53.81%
HAND WARMERS ,1,33.33%,2.29,13.26%,1.12,1.17,104.46%,51.09%
PACKING TAPE,1,33.33%,1.99,11.52%,0.75,1.24,165.33%,62.31%
Sub Total,3,99.99%,17.27,1.12%,7.87,9.40,119.44%,54.43%
HOUSEHOLD,,,,,,,
DAWN,1,100.00%,1.99,100.00%,1.17,0.82,70.09%,41.21%
Sub Total,1,100.00%,1.99,0.13%,1.17,0.82,70.09%,41.21%
ICECREAM_FROZEN,,,,,,,
ELLIO CHES PIZZA 9 SLCS,1,100.00%,4.99,100.00%,2.62,2.37,90.46%,47.49%
Sub Total,1,100.00%,4.99,0.32%,2.62,2.37,90.46%,47.49%
JUICE,,,,,,,
TROPICANA NO PULP,1,50.00%,1.99,50.00%,1.25,0.74,59.20%,37.19%
V 8 VEGETABLE JUICE,1,50.00%,1.99,50.00%,1.07,0.92,85.98%,46.23%
Sub Total,2,100.00%,3.98,0.26%,2.32,1.66,71.55%,41.71%
KRISPY KRUNCHY CHIC.,,,,,,,
KRISPY CRUCHY CHICKEN,6,100.00%,19.94,100.00%,0.00,19.94,100.00%,100.00%
Sub Total,6,100.00%,19.94,1.29%,0.00,19.94,100.00%,100.00%
ROOL YOUR OWN,,,,,,,
GAMBLER 100 TUBES,2,50.00%,7.98,21.02%,5.10,2.88,56.47%,36.09%
LARGO TOBACCO,2,50.00%,29.98,78.98%,19.82,10.16,51.26%,33.89%
Sub Total,4,100.00%,37.96,2.46%,24.92,13.04,52.33%,34.35%
SODA,,,,,,,
ALO CRISP,1,1.79%,2.19,2.17%,1.30,0.89,68.46%,40.64%
ARIZONA  HALF  HALF,3,5.36%,2.97,2.94%,1.92,1.05,54.69%,35.35%
ARIZONA GRN TEA CAN,5,8.93%,4.95,4.90%,3.20,1.75,54.69%,35.35%
AROZNA  MANGO,1,1.79%,0.99,0.98%,0.64,0.35,54.69%,35.35%
BIG HUG PUNCH 16OZ,1,1.79%,0.99,0.98%,0.34,0.65,191.18%,65.66%
CHRY COKE,1,1.79%,1.89,1.87%,0.85,1.04,122.35%,55.03%
COCA-COLA CAN,2,3.57%,1.68,1.66%,0.00,1.68,100.00%,100.00%
COCA-COLA CLASSIC,2,3.57%,4.50,4.45%,2.86,1.64,57.34%,36.44%
CRUSH GRAPE,1,1.79%,1.89,1.87%,0.00,1.89,100.00%,100.00%
DIET COKE,1,1.79%,1.89,1.87%,0.85,1.04,122.35%,55.03%
DIET COKE CAN,1,1.79%,0.84,0.83%,0.00,0.84,100.00%,100.00%
FANTA ORNG,1,1.79%,0.84,0.83%,0.00,0.84,100.00%,100.00%
GAT FRUIT PUNCH,1,1.79%,1.99,1.97%,1.15,0.84,73.04%,42.21%
GAT GLAC FREEZE,1,1.79%,1.59,1.57%,0.72,0.87,120.83%,54.72%
GAT GLACER CHERRY,1,1.79%,1.99,1.97%,1.15,0.84,73.04%,42.21%
GAT ORANGE,1,1.79%,1.99,1.97%,1.15,0.84,73.04%,42.21%
GAT ORANGE,1,1.79%,3.99,3.95%,2.26,1.73,76.55%,43.36%
GAT ORANGE,1,1.79%,1.59,1.57%,0.72,0.87,120.83%,54.72%
GOLD PEAK SWEETEND,1,1.79%,1.99,1.97%,1.00,0.99,99.00%,49.75%
MNSTR BLUE,2,3.57%,5.18,5.13%,2.84,2.34,82.39%,45.17%
MNSTR GREEN,1,1.79%,2.49,2.46%,1.42,1.07,75.35%,42.97%
MOUNTAIN DEW,1,1.79%,2.25,2.23%,1.31,0.94,71.76%,41.78%
MOUNTAIN DEW RED,1,1.79%,1.89,1.87%,0.82,1.07,130.49%,56.61%
PEPSI COLA,3,5.36%,5.67,5.61%,2.43,3.24,133.33%,57.14%
PLND SPRNG 700 ML,1,1.79%,1.79,1.77%,0.43,1.36,316.28%,75.98%
POWERADE MELON,1,1.79%,1.99,1.97%,0.94,1.05,111.70%,52.76%
PROPEL FITWATER BERRY,1,1.79%,1.79,1.77%,1.07,0.72,67.29%,40.22%
PROPEL GRAPE,1,1.79%,1.79,1.77%,1.07,0.72,67.29%,40.22%
PROPEL STRAWBERRY LEMONADE,1,1.79%,1.79,1.77%,0.00,1.79,100.00%,100.00%
PURE LEAF HONEY GREEN TEA,1,1.79%,1.99,1.97%,1.00,0.99,99.00%,49.75%
PURE LEAF PEACH,1,1.79%,1.99,1.97%,1.08,0.91,84.26%,45.73%
SEAGRAMS GINGER ALE,1,1.79%,1.89,1.87%,0.70,1.19,170.00%,62.96%
SMART WATER,1,1.79%,1.89,1.87%,0.00,1.89,100.00%,100.00%
SPRITE,1,1.79%,1.89,1.87%,0.85,1.04,122.35%,55.03%
STARBUCKS FRAPPU MOCHA,1,1.79%,2.99,2.96%,1.66,1.33,80.12%,44.48%
TUEKEY HILL GREEN TEA,1,1.79%,1.49,1.47%,0.77,0.72,93.51%,48.32%
TURKEY HILL,1,1.79%,1.49,1.47%,0.77,0.72,93.51%,48.32%
TURKEY HILL DITE ICED TEA,2,3.57%,2.98,2.95%,1.54,1.44,93.51%,48.32%
TURKEY HILL FRIUT PUNCH,1,1.79%,1.49,1.47%,0.77,0.72,93.51%,48.32%
TURKEY HILL ICED TEA,2,3.57%,7.98,7.90%,4.76,3.22,67.65%,40.35%
V8 SPLASH BRY BLEND,1,1.79%,1.69,1.67%,0.89,0.80,89.89%,47.34%
VITA WAT XXX BLBRY PMRTE,1,1.79%,1.99,1.97%,0.99,1.00,101.01%,50.25%
YUPI CHOCOLATE,1,1.79%,1.89,1.87%,1.11,0.78,70.27%,41.27%
Sub Total,56,100.15%,101.02,6.54%,49.33,51.69,104.78%,51.17%
TOBACCO,,,,,,,
EZ WIDER DOUBLE WIDE,1,9.09%,1.99,4.18%,1.12,0.87,77.68%,43.72%
JOB 1.5,1,9.09%,1.99,4.18%,1.30,0.69,53.08%,34.67%
SKL BRY BLAND,2,18.18%,9.70,20.37%,0.00,9.70,100.00%,100.00%
SKL WNTRGRN,4,36.36%,19.40,40.75%,14.36,5.04,35.10%,25.98%
SKOAL MINT POUCHES,2,18.18%,9.78,20.54%,7.18,2.60,36.21%,26.58%
SKOAL X-TRA,1,9.09%,4.75,9.98%,2.18,2.57,117.89%,54.11%
Sub Total,11,99.99%,47.61,3.08%,26.14,21.47,82.13%,45.10%
Grand Total,455,100.00%,$1545.23,100.00%,$347.66,$1197.57,344.47%,77.50%
