Store Name: Pantry 1 Colonia
Store Address: 440 Lake Ave
Store Phone: 7323814766
Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
General,MORTON ICE MELT 10 LB,11,3.36,36.96,5.99,65.89
General,WHITE OWEL- GREEN 2 FOR .,8,0.69,5.52,0.99,7.92
General,CORN COP LARGE PIPE,9,1.23,11.07,2.99,26.91
General,SS CIGARILLOS BLUBERY,30,0.48,14.40,0.76,22.80
General,Vantage 100 s Soft,39,8.41,327.99,10.32,402.48
General,WHITE OWL-BLACK CIGRALLOS,15,0.82,12.30,0.99,14.85
General,HEFTY FOAM PLATES,2,1.45,2.90,2.49,4.98
General,LYSOL MULTI PURPOSE CLEAN,1,2.50,2.50,4.99,4.99
General,JOB BROWN $.99 1 1/2 BOWL,120,0.35,42.00,0.99,118.80
General,QUAKER SOFT BAKED CHOC AL,6,0.62,3.72,0.99,5.94
General,ADVIL 2 COATED TABLETS,6,0.65,3.90,1.29,7.74
General,ALPO CHICKEN IN GRAVY,1,1.34,1.34,2.79,2.79
General,GAME PALMA WT/GRAPE 5/4PK,11,4.75,52.25,6.63,72.93
General,Purina Puppy Chow 32oz,20,5.52,110.40,7.29,145.80
General,SS CIGARILLOS GRAPE $0.69,20,0.46,9.20,0.76,15.20
General,WHITE OWL GREEN SWEETS-3,1,1.07,1.07,2.33,2.33
General,LYSOL CLING GEL BOWL CLEA,1,2.00,2.00,4.99,4.99
General,PEDIGREE CHUNKY CHICKEN,7,0.98,6.86,1.79,12.53
General,SWISHER SWEET BB-5 FOR 3,19,2.10,39.90,3.36,63.84
General,GURLEYS CIRCUS PEANUTS 2F,7,0.35,2.45,0.71,4.97
General,BIC 4-COLOR METALLIC PEN,6,1.67,10.02,2.99,17.94
General,LIFE SAVERS SWEET MINT,13,2.35,30.55,0.89,11.57
General,DON PEOINO PIZZA SAUCE,4,1.50,6.00,2.99,11.96
General,TREND REG. 12Z,1,0.84,0.84,2.49,2.49
General,ALPO WITH BEEF 22OZ,10,1.37,13.70,2.09,20.90
General,GAME GREEN 4 PACK,19,5.31,100.89,6.49,123.31
General,SP STARBURST GUMMI SOUR P,1,1.43,1.43,2.59,2.59
General,GAME PINEAPPLE,51,0.61,31.11,0.86,43.86
General,RAYOVAC  VALUE BRIGHT,1,1.35,1.35,2.79,2.79
General,SWISHER SWEETS BLK SMOOTH,13,0.80,10.40,0.99,12.87
General,WHITE OWL STRAWBERRY KIWI-2 FOR .99,32,0.78,24.96,0.99,31.68
General,KRAFT ITALIAN FIVE CHESS-,2,3.00,6.00,5.99,11.98
General,SP LUNCHABLE HAM  CHEDDA,6,1.79,10.74,3.49,20.94
General,PLANTERS HOT HUNNY-NUTRIT,16,1.02,16.32,1.99,31.84
General,H-HELPER BEEF PASTA,2,2.05,4.10,2.89,5.78
General,KRAS HD LQ 64 OZ,1,12.20,12.20,2.99,2.99
General,TOWN HOUSE-LIGHT BUTTERY,1,2.00,2.00,3.99,3.99
General,VEG.BROTH NO FAT 14.5 0Z,6,1.20,7.20,1.39,8.34
General,GAME CIGARIL.WT/GRAPE 7/4,7,1.92,13.44,2.29,16.03
General,SCRUBBING BUBBLES,4,2.29,9.16,4.49,17.96
General,GV CIGARLLO- W GRAPE,2,0.55,1.10,0.79,1.58
General,SS MINI - GRAPE 3 FOR,11,0.60,6.60,0.99,10.89
General,Turkish Jade Box,4,5.95,23.80,7.62,30.48
General,ODWALLA BARS BANANA NUT 2,8,0.94,7.52,1.59,12.72
General,BC-ROASTED GARLIC  CHEDD,3,2.50,7.50,3.49,10.47
General,SP DAY N NIGHT PHILLY CHS,3,2.21,6.63,3.69,11.07
General,QUAKER APPLE WALNUT OATME,18,1.72,30.96,2.79,50.22
General,General Item,3,0.00,0.00,0.99,2.97
General,HITECH HOOKHA-,23,5.25,120.75,9.99,229.77
General,DIAL REPLENISHING LOTION,2,2.00,4.00,3.99,7.98
General,SIMPLY APPLE 100% PURE,2,1.10,2.20,1.99,3.98
General,AQUIFINA WATER-24,8,4.00,32.00,5.99,47.92
General,WHITE OWL GREEN SWEETS,44,0.55,24.20,1.13,49.72
General,KASHI FOUR CHESS PIZZA-12,1,4.56,4.56,7.99,7.99
General,BLACK STONE CHERRY,40,4.89,195.60,6.19,247.60
General,Camel U.lts Box,5,7.15,35.75,8.16,40.80
General,JACKPOT 3 CIGAR MANGO,3,0.63,1.89,0.99,2.97
General,HEFTY TWIST TIE BAG 36CT,8,5.10,40.80,6.29,50.32
General,WINDEX CRYSTAL RAIN 26OZ,1,2.50,2.50,4.99,4.99
General,LAYS KETTLE COOKED-SEA SA,1,2.75,2.75,3.49,3.49
General,SCOTCH BRIGHT 8 S,2,2.00,4.00,3.49,6.98
General,SLIM JIM- CRACK PEPPER,50,0.76,38.00,1.69,84.50
General,SP DON MIGUEL BEEF/CHZ BU,3,1.59,4.77,2.59,7.77
General,PEDIGREEE CO.  STEW 13 OZ,4,0.98,3.92,1.79,7.16
General,PURE WESSON CANOLA OIL-64,1,3.50,3.50,9.99,9.99
General,SNICKERS PNTBTTR CRISPER,18,1.10,19.80,1.89,34.02
General,SKITTLES RIDDLES SHARE SI,28,1.02,28.56,1.89,52.92
General,SIMPLY ORANGE- 100% JUICE,2,1.10,2.20,1.99,3.98
General,GAME CIGARILLOS MINI-WHIT,2,0.58,1.16,1.03,2.06
General,KASHI MARGHERITA PIZZA-11,2,4.56,9.12,7.99,15.98
General,ORBIT MIST-SPEARMINT,1,0.93,0.93,1.79,1.79
General,SWISHER NATURAL SMOOTH,12,3.50,42.00,5.99,71.88
General,GAME CIGARIL.SILVER 2/$.9,1,0.75,0.75,0.99,0.99
General,HEFTY LARGE PLATES 28PC,1,2.50,2.50,3.89,3.89
General,Kent 100 s,39,7.86,306.54,8.78,342.42
General,DIAMOND CRYSTAL HALITE 50,1,6.48,6.48,18.99,18.99
General,R/R SPANIS RICE,2,1.39,2.78,2.49,4.98
General,CRACKER BARREL EXT. SH. W,3,3.39,10.17,5.49,16.47
General,PC ISLAND EQUAL 2000CT,1,26.50,26.50,37.88,37.88
General,ALTOIDS SMALL NORDIC MINT,2,0.78,1.56,1.49,2.98
General,CLEAR VISION,1,0.75,0.75,0.99,0.99
General,ALPO PRIME CUT BEEF 13.2,6,0.94,5.64,1.69,10.14
General,GAME CIGARIL.GREEN $.69 2,1,0.54,0.54,0.69,0.69
General,SS CIGARILLOS PEACH,24,0.46,11.04,0.76,18.24
General,GV SWEET AROMATIC -3 FOR,38,0.98,37.24,1.96,74.48
General,SP HEINZ YELLOW MUST UPSD,2,1.42,2.84,2.33,4.66
General,LYSOL SPRAY BLUE 19OZ,2,2.50,5.00,4.99,9.98
General,S/SWT.CIGARIL.WILD RUSH $,5,1.09,5.45,0.99,4.95
General,SP PIERRE HNR SAUS/EGG/CH,6,1.87,11.22,2.99,17.94
General,PUREX CLASSIC DETERGENT,1,1.50,1.50,2.99,2.99
General,WONKA LAFFY TAFFY,2,0.62,1.24,1.89,3.78
General,ALPO CUT B B CHEESE 13.2,3,0.94,2.82,1.69,5.07
General,GAME GRAPE PACK,6,5.72,34.32,6.63,39.78
General,STRAWS EXTRA LONG 500CT,2,4.99,9.98,9.09,18.18
General,SS CIGARILLOS SWEET,56,0.48,26.88,0.83,46.48
General,Merit Menthol Soft,9,5.81,52.29,9.06,81.54
General,LYSOL CONCENTRATE,1,0.00,0.00,4.79,4.79
General,FDS SHOWER FRESH,1,2.75,2.75,4.49,4.49
General,SWISHER SWEETS ISLAND MADNESS CIGARILLOS 2 FOR $.99,1,0.75,0.75,0.99,0.99
General,WHITE OWL EMERALD,1,0.80,0.80,0.99,0.99
General,OSCAR MAYER P3 HAM  CHEE,10,1.41,14.10,2.99,29.90
General,PLANTERS ENERGY TUBE CHOC,16,0.98,15.68,1.69,27.04
General,SP UNCLE ED PSTA/SPNCH/FE,6,2.63,15.78,3.99,23.94
General,JUICY FRUIT ORG-40 PIECES,1,2.39,2.39,4.69,4.69
General,SKINNY COW HEAVENY CRISP,20,0.57,11.40,1.17,23.40
General,REYNOLDS WRAPPERS-25,2,1.00,2.00,2.99,5.98
General,WHITE OWL-GRAPE SINGLE,1,0.54,0.54,1.39,1.39
General,NESCAFE CLASICO-INSTANT C,5,1.00,5.00,1.69,8.45
General,GAME GREEN,2,0.61,1.22,0.79,1.58
General,SS MINI BLUE BERRY-3,8,0.60,4.80,0.99,7.92
General,MONARCH MENTHOL GOLD FSC,50,6.78,339.00,7.01,350.50
General,GAME LEAF MANGO 2 FOR .99,10,0.80,8.00,0.99,9.90
General,ODWALLA BAR- ORANGE CRAN,10,0.94,9.40,1.59,15.90
General,T.H. FROZEN YOGURT,1,4.80,4.80,5.99,5.99
General,50 CENT OFF NEWPORT PLATINUM,7,69.50,486.50,7.85,54.95
General,HONEY NUT CHEX CERIALS,1,2.00,2.00,3.99,3.99
General,QUAKER BERRY OATMEAL-2.46,12,1.72,20.64,2.79,33.48
General,BUGLES CARAMEL CHEDDAR 3.,5,1.47,7.35,2.69,13.45
General,WRIG EX FRT SENS SWEET TR,1,0.72,0.72,1.49,1.49
General,GAME CIGARIL.GRAPE 7/4PK,7,1.92,13.44,2.79,19.53
General,SIMPLY LEMONADE -  J 12 1,3,1.23,3.69,1.99,5.97
General,GAME SILVER MINI,92,0.48,44.16,0.69,63.48
General,RFID BLOCKER,11,0.99,10.89,1.99,21.89
General,SS CIGARILLOS- CHOCLATE,20,0.79,15.80,0.99,19.80
General,MERIT MENTHOL LIGHT,8,8.33,66.64,9.84,78.72
General,JACKPOT 3 CIGAR CHERRY,16,0.60,9.60,0.99,15.84
General,BAGGIES SANDWICH BAGS 80,3,1.23,3.69,1.99,5.97
General,GM WHOLE GRAIN CINNA PUFF,3,2.50,7.50,4.99,14.97
General,LIBBY S FRUITMIX-15OZ,1,1.25,1.25,2.49,2.49
General,soft scrub- 4 in 1 toilet care,3,2.49,7.47,3.99,11.97
General,BG STFF OLIVES,1,1.53,1.53,1.79,1.79
General,ZEN KING CIG.TUBE 5/250,530,1.84,975.20,3.99,2114.70
General,SMIPLY CRANBERRY- 100 % P,5,1.23,6.15,1.99,9.95
General,GAME CIGARILLOS MINI-GRAP,2,0.72,1.44,0.89,1.78
General,KASHI GO LEAN CHOC MALTED,4,1.13,4.52,1.99,7.96
General,SWISHER MENTHOL BREEZE,6,3.50,21.00,5.99,35.94
General,Now Red 100 Soft,20,8.52,170.40,9.66,193.20
General,GAME CIGARIL.RED 2/$.99 3,7,0.77,5.39,0.99,6.93
General,HEFTY FOAM PLATS 50CT,2,2.00,4.00,3.89,7.78
General,SP AJ ORIGINAL FRENCH TOA,1,1.96,1.96,2.99,2.99
General,SLIM JIM 120CT 3FOR$1.00,480,0.20,96.00,0.35,168.00
General,SLIM JIM BACON JERKY,1,3.55,3.55,6.99,6.99
General,EXTRA DESERT DELIGHT-APPL,5,0.72,3.60,1.49,7.45
General,General Item,28,0.94,26.32,1.79,50.12
General,GAME WINE,1,1.14,1.14,1.85,1.85
General,PEACH FOAMING HAND SOAP,1,1.00,1.00,2.49,2.49
General,SS CIGARILLOS STRAW $0.69,15,0.48,7.20,0.76,11.40
General,WHITE OWL CIGARILLOS GOLD,2,0.82,1.64,0.99,1.98
General,LYSOL BOWL CLEANER,3,2.99,8.97,4.99,14.97
General,SANTA FE GRAPE,9,1.25,11.25,2.52,22.68
General,QUAKER SOFT BAKED OATMEAL,5,0.62,3.10,0.99,4.95
General,VELVETTA SLICES JALAPENO-,3,2.50,7.50,4.99,14.97
General,PC ISLAND SWEET N LOW 200,1,18.50,18.50,26.45,26.45
General,WARREN STARTING FLUID,4,0.00,0.00,1.99,7.96
General,BLING RING,12,2.50,30.00,5.00,60.00
General,PUREX TRIPLE ACTION-DETER,1,2.00,2.00,4.99,4.99
General,ALPO  CUT LONDON GRILL 13,3,0.94,2.82,1.79,5.37
General,GAME GRAPE-4,1,1.94,1.94,2.79,2.79
General,ALERT ENERGY GUM-FRUIT,1,1.52,1.52,2.99,2.99
General,SS CIGARILLOS WHITEGRAPE,21,0.46,9.66,0.69,14.49
General,W/OWL CIGARIL.PEACH 2/$.9,40,0.75,30.00,0.99,39.60
General,LY T-BOWL CLEAN,2,1.69,3.38,2.99,5.98
General,PEDIGREE CHUNKY BEEF 13.2,1,0.98,0.98,1.79,1.79
General,SWISHER SWEETS PINEAPPLE CIGARILLOS 2,8,0.77,6.16,0.99,7.92
General,WARHEADS XTREME WORMS ORI,13,0.60,7.80,1.59,20.67
General,OSCAR MAYER P3 TURKEY  C,10,1.41,14.10,2.99,29.90
General,TRIDENT VAL/PAK STRAWBERR,5,0.69,3.45,1.69,8.45
General,WRIGLEY 5 RAIN 32PC,4,1.50,6.00,2.69,10.76
General,RAYNOLDS WAX PAPER,2,3.49,6.98,4.29,8.58
General,GAME VANILLA 4 PACK,18,4.75,85.50,6.49,116.82
General,WHITE OWL BLACK MINI SING,6,0.48,2.88,0.83,4.98
General,RAYOVAC -D 2 PACK,2,3.00,6.00,3.99,7.98
General,SPEED STICK DEODORANT- 3,1,2.50,2.50,4.99,4.99
General,SWISHER SWEETS BLK CHERRY,16,0.78,12.48,0.99,15.84
General,WHITE OWL WHITE PEACH-2 FOR .99,19,0.78,14.82,0.99,18.81
General,KRAFT SINGLES MOZZARELLA,3,4.29,12.87,7.99,23.97
General,QUAKER INST OATMEAL MPL/B,36,1.21,43.56,1.97,70.92
General,HAMBURGER HELPER LASAGNE,4,2.05,8.20,3.49,13.96
General,KEBLER CHIPS DELUXE T CHO,1,2.50,2.50,4.99,4.99
General,ORBIT MIST- RASPBERRY-LEM,4,0.94,3.76,1.59,6.36
General,LAFFY TAFFY WATERMELON,81,0.05,4.05,0.15,12.15
General,GAME CIGARIL.BLUE 7/4PK,7,1.92,13.44,2.99,20.93
General,SIMPLY ORANGE JUICE,1,1.23,1.23,1.99,1.99
General,WHITE OWEL CIGARILLOS-SIL,7,0.69,4.83,0.99,6.93
General,SS CIGARILLOS- STRAWBERRY,26,0.78,20.28,0.99,25.74
General,WINCHESTER LITTLE CIGARS,89,4.69,417.41,7.14,635.46
,Total,3312,,$6067.76,,$9093.46
GROCERY,,,,
GROCERY,DEL SLICED CARROTS,1,1.51,1.51,1.79,1.79
GROCERY,WINDEX ORIGINAL 12 OZ,1,2.63,2.63,3.19,3.19
GROCERY,SNACK PACK VANILLA,3,1.44,4.32,2.99,8.97
GROCERY,KRAFT PARMESAN ORI 3OZ,6,2.15,12.90,3.29,19.74
GROCERY,HUNTS SNK PACK,1,1.36,1.36,2.49,2.49
GROCERY,OS WHOLEBERRY CRAN SAUCE,3,1.43,4.29,2.99,8.97
GROCERY,NAT PROTEIN BAR PNT BTTR,17,0.88,14.96,1.49,25.33
GROCERY,HEINZ SPICY BROWN MUSTARD,1,1.46,1.46,2.49,2.49
GROCERY,RICE  RONI BEEF 6.8OZ.,3,1.44,4.32,2.89,8.67
GROCERY,DM MIX VEG 14OZ,4,1.51,6.04,1.79,7.16
GROCERY,B  G INDIA RELISH,1,1.47,1.47,1.89,1.89
GROCERY,QUAKER OATMEAL,2,3.66,7.32,5.99,11.98
GROCERY,SNACK PACK PUDDING VANILA,3,1.44,4.32,2.29,6.87
GROCERY,OCEAN SPRAY CRANBERRY SAU,15,1.66,24.90,2.99,44.85
GROCERY,PURINA KITTEN CHOW 18 0Z,1,1.88,1.88,2.49,2.49
GROCERY,SP KRAFT SKLT CHZ BURG MA,1,3.20,3.20,4.99,4.99
GROCERY,HEINZ COCKTAIL SEAFOOD,1,1.91,1.91,3.49,3.49
GROCERY,BISQUIK ALL PURPOSE BAKE,2,2.13,4.26,3.29,6.58
GROCERY,DM PEAR HALVES,7,1.92,13.44,2.99,20.93
GROCERY,DAVIS BAKING POWDER,6,2.44,14.64,2.99,17.94
GROCERY,SP MC GROUND NUTMEG 1.1OZ,3,2.34,7.02,3.49,10.47
GROCERY,QUACKER OATMEAL b. sugar,2,1.21,2.42,2.49,4.98
GROCERY,BREAKFAST BURRITO,2,1.59,3.18,1.99,3.98
GROCERY,MAC CHEESE DELX,6,3.24,19.44,4.79,28.74
GROCERY,SNACK PACK CHOCOLATE,3,1.55,4.65,2.99,8.97
GROCERY,MACORMICK SALT  PEPPER,4,1.81,7.24,2.99,11.96
GROCERY,HEINZ CID VINEGAR,4,1.34,5.36,2.39,9.56
GROCERY,PURINA CAT CHOW 18 OZ,5,1.94,9.70,2.49,12.45
GROCERY,HEINZ TOMATO KETCHUP 20 O,3,2.08,6.24,3.99,11.97
GROCERY,REAL LEMON JUICE 15 OZ,105,0.25,26.25,2.29,240.45
GROCERY,GM FROSTED TOAST CRUNCH 1,1,2.00,2.00,4.49,4.49
GROCERY,COLLEGE INN BEEF BROTH,3,1.12,3.36,1.39,4.17
,Total,220,,$227.99,,$563
SNACKS ,,,,
SNACKS ,SP DAVID  SON SNFL CHILI,6,1.02,6.12,1.69,10.14
SNACKS ,PLANTERS PISTACHIOS 1.75o,4,1.19,4.76,1.99,7.96
SNACKS ,STRIDE SHAUN WHITE GUM,6,0.95,5.70,1.79,10.74
SNACKS ,CHEXMIX CARAMEL CRUNCH,6,0.98,5.88,1.89,11.34
SNACKS ,JALAPENO TORTILLA CHIPS,3,0.73,2.19,1.29,3.87
SNACKS ,SLIM JIM GIANT SWEET  HO,15,0.75,11.25,1.69,25.35
SNACKS ,qukaker oatmeal apple,74,1.21,89.54,2.49,184.26
SNACKS ,TRIDENT LAYERS STRAW CITR,5,0.87,4.35,1.79,8.95
SNACKS ,LUCKY CHARMS TREATS BAR,29,0.77,22.33,1.59,46.11
SNACKS ,NUTELLA HAZELNUT PRETZEL STICKS,2,1.12,2.24,1.99,3.98
SNACKS ,TRIDENT MINTY SWEET GUM,3,0.72,2.16,1.69,5.07
SNACKS ,BUTTERFINGER REGULAR CANDY,17,0.61,10.37,1.19,20.23
SNACKS ,CERTS MIXED FRUIT,33,0.43,14.19,0.89,29.37
SNACKS ,SKITTLES BLENDERS 2 OZ,1,0.58,0.58,1.17,1.17
SNACKS ,GARDETTOS ITALIAN,3,1.36,4.08,2.39,7.17
SNACKS ,ANDY CAPP CHEDDAR FRIES 3,12,0.73,8.76,1.09,13.08
SNACKS ,DENTYNE ICE MINT MEDLEY,5,0.72,3.60,1.39,6.95
SNACKS ,BUGLES CHOCO PEANUT,3,1.53,4.59,1.79,5.37
SNACKS ,FREEDENT WINTERFRESH 15SK,4,0.70,2.80,1.39,5.56
SNACKS ,TRIDENT COOL COLADA,2,0.72,1.44,1.59,3.18
SNACKS ,CHEX MIX TRAIL MIX,10,1.17,11.70,1.79,17.90
SNACKS ,STARBURST MORPH,7,0.58,4.06,1.17,8.19
SNACKS ,OH HENRY,15,0.57,8.55,1.17,17.55
SNACKS ,CELLAS CHERRIES,63,0.16,10.08,0.39,24.57
SNACKS ,STRIDE ID BERRY MELON,2,0.92,1.84,1.79,3.58
SNACKS ,STARBURST GUMMIES KING 15,11,1.11,12.21,1.89,20.79
SNACKS ,KINDER JOY FOR BOY,2,1.00,2.00,1.79,3.58
SNACKS ,Planters Honey Roasted Peanuts,48,0.34,16.32,0.59,28.32
SNACKS ,TRIDENT ORIGINAL FLAVOUR,10,0.22,2.20,0.50,5.00
SNACKS ,BUGLES CARAMEL SWEET  SA,10,1.48,14.80,1.99,19.90
SNACKS ,WRIGLEYS  ELIXIR,1,0.92,0.92,1.79,1.79
SNACKS ,RAFFAELLO 3 PC,14,1.01,14.14,2.19,30.66
SNACKS ,TRIDENT WINTERGREEN,32,0.71,22.72,1.59,50.88
SNACKS ,ORBIT WHITE SPEARMINT 50%,1,0.78,0.78,1.79,1.79
SNACKS ,NESTLE GOOBERS 1.38OZ,2,0.52,1.04,1.17,2.34
SNACKS ,STRIDE TROPICAL TRANCE,7,0.78,5.46,1.79,12.53
SNACKS ,WRIGLEYS 5 PHOTON PINEAPPLE,7,0.94,6.58,1.79,12.53
SNACKS ,SLIM JIM GIANT CALIFORNIA,72,0.78,56.16,1.49,107.28
SNACKS ,SLIMJIM TABASCO .97OZ,33,0.74,24.42,1.69,55.77
SNACKS ,PLNTR PEANUTBAR ORIG 1.6,7,0.37,2.59,1.17,8.19
SNACKS ,DENTYNE ICE PEPPERMINT,3,0.72,2.16,1.39,4.17
SNACKS ,NATURE VALLEY FRUIT NUT,16,0.39,6.24,0.99,15.84
SNACKS ,DAVID JALAPENO HOT SALSA,1,1.02,1.02,1.99,1.99
SNACKS ,HONEY BUNCHES OATS ALMOND,6,1.13,6.78,1.59,9.54
SNACKS ,Trident White Wintergreen,7,0.72,5.04,1.59,11.13
SNACKS ,CHEX CHIPS CARMELIZEO ONION,6,1.01,6.06,1.59,9.54
SNACKS ,WRIGLYS 5 GREEN APPLE VO,19,0.94,17.86,1.69,32.11
SNACKS ,NESTLE BUTTERFINGER REGULAR,59,0.57,33.63,1.17,69.03
SNACKS ,STRIDE ETERNAL MELON,1,0.78,0.78,1.79,1.79
SNACKS ,SP JACK LINKS XTRA SWT/SP,1,4.40,4.40,5.99,5.99
SNACKS ,LIFESAVERS GUMMIES SOUR-7OZ,38,0.04,1.52,2.49,94.62
SNACKS ,WONDERFUL ALMONDS RSTD SL,3,1.23,3.69,2.09,6.27
SNACKS ,SOUR PATCH KIDS GUM ORANGE,6,0.78,4.68,1.52,9.12
SNACKS ,Doublemint Gum 5 sticks,29,0.18,5.22,0.35,10.15
SNACKS ,DAVID SUNFLOWER KERNELS,1,1.00,1.00,1.49,1.49
SNACKS ,TRIDENT LAYERS CHERRY-ISL,17,1.00,17.00,1.79,30.43
SNACKS ,RECHARGE CRANBERRY AL,1,0.87,0.87,1.49,1.49
SNACKS ,ORBIT KIDS BUBBLE GUM,6,0.76,4.56,1.59,9.54
SNACKS ,NESTLE BUNCHA CRUNCH SNACK MIX,7,0.89,6.23,1.99,13.93
SNACKS ,PAYDAY PEANUT CARMEL 1.85,49,0.63,30.87,1.19,58.31
SNACKS ,STRIDE,5,0.80,4.00,1.79,8.95
SNACKS ,SP JACK LINKS AM BRKFST S,4,4.40,17.60,5.99,23.96
SNACKS ,WRIGLEYS JUICY FRUIT SWT STRB,10,0.42,4.20,0.89,8.90
SNACKS ,FRESH-UP PEPPERMINT GUM,2,0.39,0.78,0.89,1.78
SNACKS ,Life Savers Trop. Fruits,4,0.43,1.72,1.29,5.16
SNACKS ,ALTOID SPEARMINT TIN,21,1.34,28.14,2.39,50.19
SNACKS ,TRAILS BEST BJ HICKORY 2.,5,5.24,26.20,6.99,34.95
SNACKS ,L TAFY RPE STRWBRY 24CT,48,0.17,8.16,0.49,23.52
SNACKS ,PLANTERS DRY ROASTED PEAN,2,1.28,2.56,1.99,3.98
SNACKS ,TRIDENT LAYERS WTRMLN/TRO,14,2.07,28.98,1.79,25.06
SNACKS ,MULTIGRAIN TORTILLA CHIPS,1,0.75,0.75,1.29,1.29
SNACKS ,SP DAVID SMPLY SEED BLK P,3,1.02,3.06,1.59,4.77
SNACKS ,TRIDENT LAYERS APPLE PINE,26,0.93,24.18,1.79,46.54
SNACKS ,EXTRA DESSERT RASP VANILL,8,0.72,5.76,1.49,11.92
SNACKS ,whoppers  Orig.  1.75oz,38,0.60,22.80,1.17,44.46
SNACKS ,TRIDENT SPLASH ORANGE SWI,4,0.78,3.12,1.49,5.96
SNACKS ,WRIGLEYS 5 RPM,1,0.94,0.94,1.79,1.79
SNACKS ,NESTLE 100Grand King Size,8,1.09,8.72,1.17,9.36
SNACKS ,Certs Wintergreen,12,0.43,5.16,0.93,11.16
SNACKS ,WRINGLY 5 REACT,23,0.94,21.62,1.79,41.17
SNACKS ,CHEX MIX PEANUT BUTTER,4,1.46,5.84,2.69,10.76
SNACKS ,DENTYNE CLASSIC CINNAMON,2,0.69,1.38,1.49,2.98
SNACKS ,GARDETTOS CHIPOTLE CHEDD,1,1.36,1.36,2.39,2.39
SNACKS ,WRIGLEYS 5 SOLSTICE,3,0.94,2.82,1.79,5.37
SNACKS ,GODIVA DARK CHOC ALMOND 1,2,1.94,3.88,2.99,5.98
SNACKS ,TRIDENT STRAWBERRY,3,0.72,2.16,1.59,4.77
SNACKS ,GM Cinn Tst Crnch milk n,19,0.46,8.74,0.99,18.81
SNACKS ,SKINNY GOW MILK CHOCOLATE,9,0.57,5.13,1.17,10.53
SNACKS ,CHOWARDS LEMON,9,0.46,4.14,1.29,11.61
SNACKS ,STRIDE ID SPEARMINT GUM,12,0.95,11.40,1.79,21.48
SNACKS ,SP NAB BIG BAG RITZ BITS,3,0.93,2.79,1.79,5.37
SNACKS ,SLIM JIM MONSTER TABASCO,3,1.48,4.44,2.39,7.17
SNACKS ,SP SOUR POWER MINI SORTZ,1,0.99,0.99,1.79,1.79
SNACKS ,DENTYNE MINT MELON,19,0.78,14.82,1.69,32.11
SNACKS ,Fiber One Chewy Oat  Cho,3,0.51,1.53,0.99,2.97
SNACKS ,WRINGLY EXTRA BUBBLE,4,0.71,2.84,1.69,6.76
SNACKS ,TIC TAC CINNAMON SPICE,2,0.83,1.66,1.39,2.78
SNACKS ,TRIDENT SPLASHING FRUIT,5,0.72,3.60,1.49,7.45
